user_id,date,hour,water_liters,electricity_kwh
user1,2025-01-07,5,17.46,0.4
user1,2025-01-07,6,6.03,1.42
user1,2025-01-07,7,15.81,1.67
user1,2025-01-07,8,19.52,2.44
user1,2025-01-07,9,15.33,0.94
user1,2025-01-07,10,20.9,0.82
user1,2025-01-07,11,13.78,0.38
user1,2025-01-07,12,5.51,2.41
user1,2025-01-07,13,21.72,1.8
user1,2025-01-07,14,13.18,0.6
user1,2025-01-07,15,8.13,0.78
user1,2025-01-07,16,15.98,1.84
user1,2025-01-07,17,18.2,0.84
user1,2025-01-07,18,24.1,1.9
user1,2025-01-07,19,16.09,1.61
user1,2025-01-07,20,13.39,0.77
user1,2025-01-07,21,12.12,1.94
user1,2025-01-07,22,5.29,0.47
user1,2025-01-07,23,5.92,0.29
user1,2025-01-08,0,22.11,1.82
user1,2025-01-08,1,14.48,0.43
user1,2025-01-08,2,14.83,1.29
user1,2025-01-08,3,8.46,1.2
user1,2025-01-08,4,12.97,1.62
user1,2025-01-08,5,17.7,0.3
user1,2025-01-08,6,12.49,1.64
user1,2025-01-08,7,15.06,2.17
user1,2025-01-08,8,18.17,0.57
user1,2025-01-08,9,6.41,1.68
user1,2025-01-08,10,5.53,1.55
user1,2025-01-08,11,23.8,1.52
user1,2025-01-08,12,12.76,1.68
user1,2025-01-08,13,14.17,1.45
user1,2025-01-08,14,23.83,1.09
user1,2025-01-08,15,24.22,2.28
user1,2025-01-08,16,8.92,0.36
user1,2025-01-08,17,7.02,0.24
user1,2025-01-08,18,6.89,1.77
user1,2025-01-08,19,6.42,0.93
user1,2025-01-08,20,21.9,0.25
user1,2025-01-08,21,21.29,0.85
user1,2025-01-08,22,7.36,1.8
user1,2025-01-08,23,17.58,2.22
user1,2025-01-09,0,19.7,2.05
user1,2025-01-09,1,10.64,0.61
user1,2025-01-09,2,20.01,2.06
user1,2025-01-09,3,24.81,1.15
user1,2025-01-09,4,12.44,1.99
user1,2025-01-09,5,11.82,2.34
user1,2025-01-09,6,22.17,1.19
user1,2025-01-09,7,20.02,1.94
user1,2025-01-09,8,7.06,2.28
user1,2025-01-09,9,15.11,2.1
user1,2025-01-09,10,11.4,2.26
user1,2025-01-09,11,12.78,0.22
user1,2025-01-09,12,23.11,0.41
user1,2025-01-09,13,11.39,2.39
user1,2025-01-09,14,24.01,1.52
user1,2025-01-09,15,17.64,1.23
user1,2025-01-09,16,10.86,0.96
user1,2025-01-09,17,18.45,1.93
user1,2025-01-09,18,20.83,2.02
user1,2025-01-09,19,6.82,1.34
user1,2025-01-09,20,6.15,1.46
user1,2025-01-09,21,13.83,2.24
user1,2025-01-09,22,12.02,0.47
user1,2025-01-09,23,7.86,1.95
user1,2025-01-10,0,17.36,0.43
user1,2025-01-10,1,6.68,1.81
user1,2025-01-10,2,6.46,2.09
user1,2025-01-10,3,19.12,0.39
user1,2025-01-10,4,6.7,2.47
user1,2025-01-10,5,12.49,1.05
user1,2025-01-10,6,21.26,2.38
user1,2025-01-10,7,24.72,1.93
user1,2025-01-10,8,12.53,0.39
user1,2025-01-10,9,20.54,1.48
user1,2025-01-10,10,13.48,2.28
user1,2025-01-10,11,7.22,1.33
user1,2025-01-10,12,5.23,1.28
user1,2025-01-10,13,6.13,0.47
user1,2025-01-10,14,7.35,1.69
user1,2025-01-10,15,19.92,1.54
user1,2025-01-10,16,24.24,1.06
user1,2025-01-10,17,10.71,2.2
user1,2025-01-10,18,9.47,2.42
user1,2025-01-10,19,5.24,2.43
user1,2025-01-10,20,5.86,2.25
user1,2025-01-10,21,15.55,2.48
user1,2025-01-10,22,6.48,1.47
user1,2025-01-10,23,24.39,1.4
user1,2025-01-11,0,17.59,1.8
user1,2025-01-11,1,14.09,1.64
user1,2025-01-11,2,16.69,2.27
user1,2025-01-11,3,5.91,0.85
user1,2025-01-11,4,24.01,2.25
user1,2025-01-11,5,14.11,1.63
user1,2025-01-11,6,10.55,0.63
user1,2025-01-11,7,14.27,1.01
user1,2025-01-11,8,16.67,0.38
user1,2025-01-11,9,24.49,2.47
user1,2025-01-11,10,18.96,1.43
user1,2025-01-11,11,11.19,2.07
user1,2025-01-11,12,18.69,0.57
user1,2025-01-11,13,23.22,2.09
user1,2025-01-11,14,24.0,1.87
user1,2025-01-11,15,17.27,1.16
user1,2025-01-11,16,23.65,2.19
user1,2025-01-11,17,5.9,0.26
user1,2025-01-11,18,12.53,2.06
user1,2025-01-11,19,24.75,0.55
user1,2025-01-11,20,16.88,1.08
user1,2025-01-11,21,24.4,2.14
user1,2025-01-11,22,21.77,1.28
user1,2025-01-11,23,13.3,0.83
user1,2025-01-12,0,6.13,2.19
user1,2025-01-12,1,21.26,2.5
user1,2025-01-12,2,24.93,1.48
user1,2025-01-12,3,20.38,2.37
user1,2025-01-12,4,21.99,0.77
user1,2025-01-12,5,14.01,0.5
user1,2025-01-12,6,24.08,1.59
user1,2025-01-12,7,9.57,1.74
user1,2025-01-12,8,17.36,1.02
user1,2025-01-12,9,7.27,1.74
user1,2025-01-12,10,15.41,1.98
user1,2025-01-12,11,15.4,2.16
user1,2025-01-12,12,16.04,1.49
user1,2025-01-12,13,22.53,1.13
user1,2025-01-12,14,7.68,0.27
user1,2025-01-12,15,20.1,1.63
user1,2025-01-12,16,19.08,0.69
user1,2025-01-12,17,7.73,0.23
user1,2025-01-12,18,12.01,1.56
user1,2025-01-12,19,12.84,1.21
user1,2025-01-12,20,23.08,1.0
user1,2025-01-12,21,15.28,2.0
user1,2025-01-12,22,12.93,1.63
user1,2025-01-12,23,22.25,2.38
user1,2025-01-13,0,7.94,2.33
user1,2025-01-13,1,14.84,0.79
user1,2025-01-13,2,14.18,2.45
user1,2025-01-13,3,14.85,0.96
user1,2025-01-13,4,17.67,0.75
user1,2025-01-13,5,6.52,0.5
user1,2025-01-13,6,7.56,0.55
user1,2025-01-13,7,7.78,1.67
user1,2025-01-13,8,8.64,1.0
user1,2025-01-13,9,22.94,1.29
user1,2025-01-13,10,18.35,0.6
user1,2025-01-13,11,8.85,0.29
user1,2025-01-13,12,8.38,0.84
user1,2025-01-13,13,8.54,0.4
user1,2025-01-13,14,7.41,1.26
user1,2025-01-13,15,9.13,1.04
user1,2025-01-13,16,15.07,1.79
user1,2025-01-13,17,5.79,2.04
user1,2025-01-13,18,17.56,0.39
user1,2025-01-13,19,22.47,2.32
user1,2025-01-13,20,6.22,0.84
user1,2025-01-13,21,21.12,1.92
user1,2025-01-13,22,8.69,0.68
user1,2025-01-13,23,12.41,1.31
user1,2025-01-14,0,17.37,1.05
user1,2025-01-14,1,14.25,1.92
user1,2025-01-14,2,5.73,0.78
user1,2025-01-14,3,19.27,2.26
user1,2025-01-14,4,15.23,1.42
user1,2025-01-14,5,7.14,1.23
user1,2025-01-14,6,15.65,0.76
user1,2025-01-14,7,10.38,1.07
user1,2025-01-14,8,5.4,0.94
user1,2025-01-14,9,9.23,0.95
user1,2025-01-14,10,7.4,2.25
user1,2025-01-14,11,16.87,1.76
user1,2025-01-14,12,20.78,1.35
user1,2025-01-14,13,6.74,1.44
user1,2025-01-14,14,16.74,1.91
user1,2025-01-14,15,13.63,0.49
user1,2025-01-14,16,10.68,1.04
user1,2025-01-14,17,17.92,1.51
user1,2025-01-14,18,12.12,2.47
user1,2025-01-14,19,17.12,0.75
user1,2025-01-14,20,7.04,0.55
user1,2025-01-14,21,9.92,0.57
user1,2025-01-14,22,8.73,0.86
user1,2025-01-14,23,8.47,2.26
user1,2025-01-15,0,6.6,1.41
user1,2025-01-15,1,13.21,2.46
user1,2025-01-15,2,7.24,1.12
user1,2025-01-15,3,24.39,2.19
user1,2025-01-15,4,21.34,0.79
user1,2025-01-15,5,8.42,1.74
user1,2025-01-15,6,23.59,1.48
user1,2025-01-15,7,16.43,0.84
user1,2025-01-15,8,20.39,0.63
user1,2025-01-15,9,11.47,1.18
user1,2025-01-15,10,15.15,0.76
user1,2025-01-15,11,7.3,1.6
user1,2025-01-15,12,10.77,1.54
user1,2025-01-15,13,8.09,1.31
user1,2025-01-15,14,15.65,0.32
user1,2025-01-15,15,11.73,0.51
user1,2025-01-15,16,6.27,2.48
user1,2025-01-15,17,11.45,2.06
user1,2025-01-15,18,10.09,1.77
user1,2025-01-15,19,20.2,1.57
user1,2025-01-15,20,14.43,1.15
user1,2025-01-15,21,11.98,2.34
user1,2025-01-15,22,21.61,2.42
user1,2025-01-15,23,7.49,1.88
user1,2025-01-16,0,23.77,0.62
user1,2025-01-16,1,6.33,1.9
user1,2025-01-16,2,16.49,2.14
user1,2025-01-16,3,7.8,2.03
user1,2025-01-16,4,9.03,0.58
user1,2025-01-16,5,8.29,2.07
user1,2025-01-16,6,18.3,1.4
user1,2025-01-16,7,12.18,2.22
user1,2025-01-16,8,12.85,2.08
user1,2025-01-16,9,13.78,1.07
user1,2025-01-16,10,14.25,0.89
user1,2025-01-16,11,19.95,1.36
user1,2025-01-16,12,9.64,2.27
user1,2025-01-16,13,12.68,1.45
user1,2025-01-16,14,23.13,1.64
user1,2025-01-16,15,7.34,2.36
user1,2025-01-16,16,17.55,0.97
user1,2025-01-16,17,7.79,2.03
user1,2025-01-16,18,17.4,1.43
user1,2025-01-16,19,22.88,2.01
user1,2025-01-16,20,8.03,0.92
user1,2025-01-16,21,9.97,1.91
user1,2025-01-16,22,5.67,1.51
user1,2025-01-16,23,20.25,2.22
user1,2025-01-17,0,11.84,2.09
user1,2025-01-17,1,7.21,2.15
user1,2025-01-17,2,7.55,1.11
user1,2025-01-17,3,20.95,0.54
user1,2025-01-17,4,9.59,1.86
user1,2025-01-17,5,19.4,1.67
user1,2025-01-17,6,18.88,1.45
user1,2025-01-17,7,10.04,1.0
user1,2025-01-17,8,8.63,2.29
user1,2025-01-17,9,16.67,1.12
user1,2025-01-17,10,14.24,2.38
user1,2025-01-17,11,8.07,1.55
user1,2025-01-17,12,15.12,1.61
user1,2025-01-17,13,5.36,2.21
user1,2025-01-17,14,23.64,1.5
user1,2025-01-17,15,18.93,2.32
user1,2025-01-17,16,19.14,0.55
user1,2025-01-17,17,16.53,1.6
user1,2025-01-17,18,13.48,1.89
user1,2025-01-17,19,23.69,2.33
user1,2025-01-17,20,14.02,0.46
user1,2025-01-17,21,24.7,2.13
user1,2025-01-17,22,7.49,2.32
user1,2025-01-17,23,22.4,1.39
user1,2025-01-18,0,16.83,1.12
user1,2025-01-18,1,6.1,0.97
user1,2025-01-18,2,21.06,0.21
user1,2025-01-18,3,11.67,1.12
user1,2025-01-18,4,15.75,2.32
user1,2025-01-18,5,11.93,1.0
user1,2025-01-18,6,19.75,1.24
user1,2025-01-18,7,9.49,1.24
user1,2025-01-18,8,7.82,0.61
user1,2025-01-18,9,14.97,1.16
user1,2025-01-18,10,23.3,1.03
user1,2025-01-18,11,16.61,1.65
user1,2025-01-18,12,5.26,1.73
user1,2025-01-18,13,8.56,2.41
user1,2025-01-18,14,7.97,1.15
user1,2025-01-18,15,6.71,2.49
user1,2025-01-18,16,15.04,1.57
user1,2025-01-18,17,6.34,1.92
user1,2025-01-18,18,9.2,2.27
user1,2025-01-18,19,9.1,0.64
user1,2025-01-18,20,5.73,1.29
user1,2025-01-18,21,16.3,0.35
user1,2025-01-18,22,20.51,1.24
user1,2025-01-18,23,15.49,1.21
user1,2025-01-19,0,13.02,1.49
user1,2025-01-19,1,8.1,0.62
user1,2025-01-19,2,22.24,2.38
user1,2025-01-19,3,12.47,0.82
user1,2025-01-19,4,17.88,1.14
user1,2025-01-19,5,5.51,0.56
user1,2025-01-19,6,19.32,1.72
user1,2025-01-19,7,5.54,0.71
user1,2025-01-19,8,9.62,1.75
user1,2025-01-19,9,5.39,0.44
user1,2025-01-19,10,21.0,0.61
user1,2025-01-19,11,18.05,0.75
user1,2025-01-19,12,6.99,0.76
user1,2025-01-19,13,19.45,2.17
user1,2025-01-19,14,21.6,1.11
user1,2025-01-19,15,18.36,0.67
user1,2025-01-19,16,10.86,2.26
user1,2025-01-19,17,5.26,0.4
user1,2025-01-19,18,9.16,0.26
user1,2025-01-19,19,8.63,1.54
user1,2025-01-19,20,13.43,2.25
user1,2025-01-19,21,21.35,0.99
user1,2025-01-19,22,10.19,1.07
user1,2025-01-19,23,16.81,0.82
user1,2025-01-20,0,17.48,1.14
user1,2025-01-20,1,16.04,1.2
user1,2025-01-20,2,10.89,2.38
user1,2025-01-20,3,20.27,0.52
user1,2025-01-20,4,22.37,1.32
user1,2025-01-20,5,22.89,2.04
user1,2025-01-20,6,13.5,0.25
user1,2025-01-20,7,10.37,1.45
user1,2025-01-20,8,17.67,0.79
user1,2025-01-20,9,7.79,2.12
user1,2025-01-20,10,24.69,1.41
user1,2025-01-20,11,8.43,0.83
user1,2025-01-20,12,5.37,2.3
user1,2025-01-20,13,7.36,1.53
user1,2025-01-20,14,10.48,1.47
user1,2025-01-20,15,18.03,2.11
user1,2025-01-20,16,9.13,0.23
user1,2025-01-20,17,7.74,2.27
user1,2025-01-20,18,22.48,1.57
user1,2025-01-20,19,17.01,1.73
user1,2025-01-20,20,8.51,2.3
user1,2025-01-20,21,13.38,1.08
user1,2025-01-20,22,15.38,0.31
user1,2025-01-20,23,8.33,1.9
user1,2025-01-21,0,6.66,1.59
user1,2025-01-21,1,9.91,1.1
user1,2025-01-21,2,10.77,1.02
user1,2025-01-21,3,19.38,0.88
user1,2025-01-21,4,16.33,1.29
user1,2025-01-21,5,18.27,2.35
user1,2025-01-21,6,19.65,0.69
user1,2025-01-21,7,5.62,0.8
user1,2025-01-21,8,16.9,0.32
user1,2025-01-21,9,14.93,1.57
user1,2025-01-21,10,11.68,1.97
user1,2025-01-21,11,7.13,0.37
user1,2025-01-21,12,19.56,1.34
user1,2025-01-21,13,18.77,1.2
user1,2025-01-21,14,9.93,2.08
user1,2025-01-21,15,20.99,1.8
user1,2025-01-21,16,10.44,1.56
user1,2025-01-21,17,12.22,0.41
user1,2025-01-21,18,23.35,0.51
user1,2025-01-21,19,24.0,1.23
user1,2025-01-21,20,8.7,1.45
user1,2025-01-21,21,22.46,1.88
user1,2025-01-21,22,21.13,1.72
user1,2025-01-21,23,18.85,2.15
user1,2025-01-22,0,9.99,1.33
user1,2025-01-22,1,9.42,2.47
user1,2025-01-22,2,23.88,0.29
user1,2025-01-22,3,19.11,2.33
user1,2025-01-22,4,8.61,1.51
user1,2025-01-22,5,23.31,0.28
user1,2025-01-22,6,18.95,0.88
user1,2025-01-22,7,23.49,2.43
user1,2025-01-22,8,23.89,1.29
user1,2025-01-22,9,22.24,2.14
user1,2025-01-22,10,11.38,2.11
user1,2025-01-22,11,5.74,1.57
user1,2025-01-22,12,9.6,0.48
user1,2025-01-22,13,6.54,1.8
user1,2025-01-22,14,11.8,1.87
user1,2025-01-22,15,6.31,0.93
user1,2025-01-22,16,15.79,2.02
user1,2025-01-22,17,11.38,1.64
user1,2025-01-22,18,22.72,1.62
user1,2025-01-22,19,9.66,0.26
user1,2025-01-22,20,22.4,0.25
user1,2025-01-22,21,22.49,1.42
user1,2025-01-22,22,23.78,2.04
user1,2025-01-22,23,24.96,1.01
user1,2025-01-23,0,20.34,1.12
user1,2025-01-23,1,14.6,1.64
user1,2025-01-23,2,22.47,2.46
user1,2025-01-23,3,20.37,1.16
user1,2025-01-23,4,13.43,1.9
user1,2025-01-23,5,9.78,0.45
user1,2025-01-23,6,12.09,0.86
user1,2025-01-23,7,10.93,0.74
user1,2025-01-23,8,5.84,0.24
user1,2025-01-23,9,24.75,1.18
user1,2025-01-23,10,12.69,1.76
user1,2025-01-23,11,9.37,2.38
user1,2025-01-23,12,20.73,0.41
user1,2025-01-23,13,13.35,2.22
user1,2025-01-23,14,23.89,1.28
user1,2025-01-23,15,17.27,0.58
user1,2025-01-23,16,24.82,0.73
user1,2025-01-23,17,23.85,1.69
user1,2025-01-23,18,17.15,1.38
user1,2025-01-23,19,9.61,0.61
user1,2025-01-23,20,9.41,0.63
user1,2025-01-23,21,20.59,1.01
user1,2025-01-23,22,6.16,2.43
user1,2025-01-23,23,22.68,2.33
user1,2025-01-24,0,24.9,0.6
user1,2025-01-24,1,12.92,1.94
user1,2025-01-24,2,18.92,0.55
user1,2025-01-24,3,21.32,0.72
user1,2025-01-24,4,9.48,1.44
user1,2025-01-24,5,16.86,1.53
user1,2025-01-24,6,6.83,2.22
user1,2025-01-24,7,10.31,0.5
user1,2025-01-24,8,22.77,2.4
user1,2025-01-24,9,22.24,2.06
user1,2025-01-24,10,18.1,1.47
user1,2025-01-24,11,6.74,1.14
user1,2025-01-24,12,12.45,0.8
user1,2025-01-24,13,19.47,1.34
user1,2025-01-24,14,6.62,0.71
user1,2025-01-24,15,18.67,0.38
user1,2025-01-24,16,22.02,1.34
user1,2025-01-24,17,14.61,1.56
user1,2025-01-24,18,21.49,1.0
user1,2025-01-24,19,18.56,1.5
user1,2025-01-24,20,10.34,2.22
user1,2025-01-24,21,20.95,1.71
user1,2025-01-24,22,22.01,2.19
user1,2025-01-24,23,19.17,2.13
user1,2025-01-25,0,18.95,1.76
user1,2025-01-25,1,17.37,1.93
user1,2025-01-25,2,8.17,2.23
user1,2025-01-25,3,22.44,0.27
user1,2025-01-25,4,21.52,0.5
user1,2025-01-25,5,11.7,1.91
user1,2025-01-25,6,8.22,2.08
user1,2025-01-25,7,21.64,1.37
user1,2025-01-25,8,5.13,0.86
user1,2025-01-25,9,17.34,2.46
user1,2025-01-25,10,17.64,0.8
user1,2025-01-25,11,17.68,1.44
user1,2025-01-25,12,20.6,0.45
user1,2025-01-25,13,20.22,1.44
user1,2025-01-25,14,24.26,0.99
user1,2025-01-25,15,17.65,2.34
user1,2025-01-25,16,7.05,2.36
user1,2025-01-25,17,18.76,0.36
user1,2025-01-25,18,11.02,1.83
user1,2025-01-25,19,6.35,1.54
user1,2025-01-25,20,11.92,1.63
user1,2025-01-25,21,5.91,2.2
user1,2025-01-25,22,24.47,2.43
user1,2025-01-25,23,19.99,0.5
user1,2025-01-26,0,20.17,0.26
user1,2025-01-26,1,5.44,0.94
user1,2025-01-26,2,14.77,1.97
user1,2025-01-26,3,18.67,1.23
user1,2025-01-26,4,10.47,2.49
user1,2025-01-26,5,13.52,1.24
user1,2025-01-26,6,8.27,2.03
user1,2025-01-26,7,18.87,0.71
user1,2025-01-26,8,6.65,1.77
user1,2025-01-26,9,18.09,0.83
user1,2025-01-26,10,24.02,0.55
user1,2025-01-26,11,13.65,2.37
user1,2025-01-26,12,13.39,1.67
user1,2025-01-26,13,12.95,0.83
user1,2025-01-26,14,24.68,1.14
user1,2025-01-26,15,22.88,0.73
user1,2025-01-26,16,9.26,0.27
user1,2025-01-26,17,18.03,1.05
user1,2025-01-26,18,22.29,1.29
user1,2025-01-26,19,24.36,0.63
user1,2025-01-26,20,22.37,1.99
user1,2025-01-26,21,20.42,2.14
user1,2025-01-26,22,20.22,1.64
user1,2025-01-26,23,7.62,0.27
user1,2025-01-27,0,23.42,1.62
user1,2025-01-27,1,20.93,1.31
user1,2025-01-27,2,7.35,0.49
user1,2025-01-27,3,18.71,1.19
user1,2025-01-27,4,9.01,1.33
user1,2025-01-27,5,6.28,1.54
user1,2025-01-27,6,10.38,2.03
user1,2025-01-27,7,11.21,1.25
user1,2025-01-27,8,5.23,0.37
user1,2025-01-27,9,12.85,1.3
user1,2025-01-27,10,17.0,0.87
user1,2025-01-27,11,18.9,2.18
user1,2025-01-27,12,20.6,0.29
user1,2025-01-27,13,14.61,0.44
user1,2025-01-27,14,9.84,2.47
user1,2025-01-27,15,7.85,1.35
user1,2025-01-27,16,17.36,1.82
user1,2025-01-27,17,16.19,0.22
user1,2025-01-27,18,11.53,1.39
user1,2025-01-27,19,6.76,1.01
user1,2025-01-27,20,5.66,0.38
user1,2025-01-27,21,12.94,0.51
user1,2025-01-27,22,16.35,1.79
user1,2025-01-27,23,21.01,0.66
user1,2025-01-28,0,8.35,0.44
user1,2025-01-28,1,17.73,1.82
user1,2025-01-28,2,5.63,2.35
user1,2025-01-28,3,6.04,1.44
user1,2025-01-28,4,19.18,2.2
user1,2025-01-28,5,19.28,2.04
user1,2025-01-28,6,11.79,2.07
user1,2025-01-28,7,6.6,2.26
user1,2025-01-28,8,15.95,2.08
user1,2025-01-28,9,14.05,1.68
user1,2025-01-28,10,15.53,1.88
user1,2025-01-28,11,6.63,0.34
user1,2025-01-28,12,9.94,0.57
user1,2025-01-28,13,22.44,0.7
user1,2025-01-28,14,24.52,0.97
user1,2025-01-28,15,8.64,2.02
user1,2025-01-28,16,18.17,1.35
user1,2025-01-28,17,16.11,1.85
user1,2025-01-28,18,9.57,2.49
user1,2025-01-28,19,24.5,1.7
user1,2025-01-28,20,8.99,1.76
user1,2025-01-28,21,6.44,0.27
user1,2025-01-28,22,10.15,1.26
user1,2025-01-28,23,22.37,1.87
user1,2025-01-29,0,19.85,1.18
user1,2025-01-29,1,11.92,1.05
user1,2025-01-29,2,24.75,0.29
user1,2025-01-29,3,22.34,1.53
user1,2025-01-29,4,13.77,1.87
user1,2025-01-29,5,14.73,2.21
user1,2025-01-29,6,23.01,1.17
user1,2025-01-29,7,10.54,1.56
user1,2025-01-29,8,23.25,0.68
user1,2025-01-29,9,17.46,1.65
user1,2025-01-29,10,19.66,0.5
user1,2025-01-29,11,19.32,2.29
user1,2025-01-29,12,8.59,0.75
user1,2025-01-29,13,24.43,0.62
user1,2025-01-29,14,22.09,1.33
user1,2025-01-29,15,9.94,2.2
user1,2025-01-29,16,13.91,1.38
user1,2025-01-29,17,12.18,1.56
user1,2025-01-29,18,8.27,1.1
user1,2025-01-29,19,24.39,0.79
user1,2025-01-29,20,18.13,0.95
user1,2025-01-29,21,20.47,0.5
user1,2025-01-29,22,24.4,1.24
user1,2025-01-29,23,9.72,0.37
user1,2025-01-30,0,8.4,1.4
